year,month,avg_price_eur_mwh
2024,1,10.627545698924731
2024,2,5.158137931034482
2024,3,5.932570659488559
2024,4,4.890638888888889
2024,5,3.519278225806451
2024,6,3.6055916666666663
2024,7,1.6781129032258066
2024,8,1.2529341397849463
2024,9,5.6024513888888885
2024,10,4.063193288590604
2024,11,4.532495833333333
2024,12,3.8805134408602147
2025,1,5.282028225806452
2025,2,4.725
2025,3,4.748479138627187
2025,4,4.770894444444444
2025,5,1.825807795698925
2025,6,1.8576527777777778
2025,7,2.414319892473118
2025,8,5.52255376344086
2025,9,4.17945
2025,10,4.893485906040269
2025,11,4.7973638888888885
2025,12,3.5923870967741935
2026,1,11.726794354838711
2026,2,13.719502976190475
2026,3,2.7813687752355314
2026,4,4.9492972222222225
2026,5,5.287969086021505
2026,6,4.5316069444444445
2026,7,1.5395806451612903
